FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLEDATE,SAMPLETIME,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,TASK_CODE_2,PARENT_SAMPLE_CODE,FIELD_SDG,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORT_METHOD_DETECTION_LIMIT,REPORT_REPORTING_LIMIT,REPORT_QUANTITATION_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,UNCERTAINTY,SAMPLE_METHOD,MEDIUM_CODE,DQM_REASON_CODE,COMPOSITE_YN,RESULT_ERROR_DELTA,COUNTING_ERROR,SAMPLE_START_DATE,ANL_SHORT_NAME,MINIMUM_DETECTABLE_CONC,SAMPLE_END_DATE,ANALYST_NAME,collection_date,,,
1,SRS,FM-6-ANN,FM-6,126037,0600101700,FM-6-ANN-WATER-2006-02-15T14:10:00,2/15/06,15 Feb 2006,14:10,REG,,,,WATER,EM SAMPLING 2006,,,,LB,300177025,,EBLFY18,L3.21-10021,4/13/06,00,T,000,,,,,100,1,737395,15046-84-1,IODINE-129,N,< 0.7380,0.738,pCi/L,0.7380,,0.5290,1.72,Yes,N,,,J,1.72,,0.5290,pCi/L,UU,0.7380,0.738,pCi/L,TRG,,,,,,,,0,,LIQ,21,N,0.5960,,2/15/06,I129,,2/15/06,,2/15/06,,,
1,SRS,FM-6-ANN,FM-6,132454,0700121300,FM-6-ANN-WATER-2007-01-24T14:20:00,1/24/07,24 Jan 2007,14:20,REG,,,,WATER,EM SAMPLING 2007,,,,LB,300400800,,EBLFY18,L3.21-10021,8/30/07,00,T,000,,,,,100,1,751197,15046-84-1,IODINE-129,N,< 0.2690,0.269,pCi/L,0.2690,,0.5640,1.18,Yes,N,,,U,1.18,,0.5640,pCi/L,UU,0.2690,0.269,pCi/L,TRG,,,,,,,,0,,LIQ,,N,0.31,,1/24/07,I129,,1/24/07,,1/24/07,,,
1,SRS,FM-6-ANN,FM-6,138840,0800133400,FM-6-ANN-WATER-2008-01-24T00:00:00,1/24/08,24 Jan 2008,00:00,REG,,,,WATER,EM SAMPLING 2008,,,,LB,300659504,,EBLFY18,L3.21-10021,2/13/08,00,T,000,,,,,100,1,766420,15046-84-1,IODINE-129,N,< 0.1350,0.135,pCi/L,0.1350,,1.24,2.73,Yes,N,,,U,2.73,,1.24,pCi/L,UU,0.1350,0.135,pCi/L,TRG,,,,,,,,0,,LIQ,,N,0.7440,,1/24/08,I129,,1/24/08,,1/24/08,,,
1,SRS,FM-6-ANN,FM-6,158035,0900311000,FM-6-ANN-WATER-2009-02-24T09:20:00,2/24/09,24 Feb 2009,09:20,REG,,,,WATER,EM SAMPLING 2009,,,,LB,300988073,,EBLFY18,L3.21-10021,3/5/09,00,T,000,,,,,100,1,809688,15046-84-1,IODINE-129,N,1.88,1.88,pCi/L,1.88,,0.5980,1.81,Yes,Y,,,,1.81,,0.5980,pCi/L,UU,1.88,1.88,pCi/L,TRG,,,,,,,,0,,LIQ,SIG,N,0.6060,,2/24/09,I129,,2/24/09,,2/24/09,,,
1,SRS,FM-6-ANN,FM-6,158036,1000039000,FM-6-ANN-WATER-2010-01-13T14:30:00,1/13/10,13 Jan 2010,14:30,REG,,,,WATER,EM SAMPLING 2010,,,,LB,301223376,,EBLFY18,L3.21-10021,7/27/10,00,T,000,,,,,100,1,809694,15046-84-1,IODINE-129,N,1.40,1.4,pCi/L,1.40,,0.5720,1.93,Yes,Y,,,J,1.93,,0.5720,pCi/L,UU,1.40,1.4,pCi/L,TRG,,,,,,,,0,,LIQ,SIG|21,N,0.6780,,1/13/10,I129,,1/13/10,,1/13/10,,,
1,SRS,FM-6-ANN,FM-6,158037,1100037100,FM-6-ANN-WATER-2011-08-03T10:30:00,8/3/11,03 Aug 2011,10:30,REG,,,,WATER,EM SAMPLING 2011,,,,LB,301482349,,EBLFY18,L3.21-10021,8/16/11,00,T,000,,,,,100,1,809700,15046-84-1,IODINE-129,N,2.39,2.39,pCi/L,2.39,,0.4420,1.74,Yes,Y,,,,1.74,,0.4420,pCi/L,UU,2.39,2.39,pCi/L,TRG,,,,,,,,0,,LIQ,SIG,N,0.6480,,8/3/11,I129,,8/3/11,,8/3/11,,,
1,SRS,FM-6-ANN,FM-6,158038,1200039800,FM-6-ANN-WATER-2012-01-23T09:00:00,1/23/12,23 Jan 2012,09:00,REG,,,,WATER,EM SAMPLING 2012,,,,LB,301741553,,EBLFY18,L3.21-10021,6/8/12,00,T,000,,,,,100,1,809706,15046-84-1,IODINE-129,N,< 0.9420,0.942,pCi/L,0.9420,,1.01,2.15,Yes,N,,,U,2.15,,1.01,pCi/L,UU,0.9420,0.942,pCi/L,TRG,,,,,,,,0,,LIQ,,N,0.57,,1/23/12,I129,,1/23/12,,1/23/12,,,
1,SRS,FM-6-ANN,FM-6,166731,1300036500,FM-6-ANN-WATER-2013-01-28T10:10:00,1/28/13,28 Jan 2013,10:10,REG,,,,WATER,EM SAMPLING 2013,,,,LB,301995009,,EBLFY18,L3.21-10021,6/4/13,00,T,000,,,,,100,1,835899,15046-84-1,IODINE-129,N,< 0.80,0.8,pCi/L,0.80,,0.8660,2.53,Yes,N,,,U,2.53,,0.8660,pCi/L,UU,0.80,0.8,pCi/L,TRG,,,,,,,,0,,LIQ,,N,0.83,,1/28/13,I129,,1/28/13,,1/28/13,,,
1,SRS,FM-6-ANN,FM-6,448444,1400041800,FM-6-ANN-WATER-2014-02-06T00:00:00,2/6/14,06 Feb 2014,10:30,REG,,,,WATER,EM-2013-2014,,,,LB,302237169,,EBLFY18,L3.21-10021,7/4/14,00,T,000,,,,,100,1,2567034,15046-84-1,IODINE-129,N,1.34,1.34,pCi/L,1.34,,0.8650,2.61,Yes,Y,,,U,2.61,,0.8650,pCi/L,UU,1.34,1.34,pCi/L,TRG,,,,,,,,0,,LIQ,SIG|V|21,N,0.8720,,2/6/14,I129,,2/6/14,,2/6/14,,,
1,SRS,FM-6-ANN,FM-6,451116,15ANNUAL-0020,FM-6-ANN-WATER-2015-01-20T10:20:10,1/20/15,20 Jan 2015,10:20,REG,,,,WATER,2015 ANNUALS,,,,LB,302691262,,EBLFY18,L3.21-10021,4/1/15,00,T,000,,,,,100,1,2577283,15046-84-1,IODINE-129,N,< 0.2270,0.227,pCi/L,0.2270,,0.8710,1.89,Yes,N,,,U,1.89,,0.8710,pCi/L,VU,0.2270,0.227,pCi/L,TRG,,,,,,,,0,,LIQ,,N,0.51,,1/20/15,I129,,1/20/15,,1/20/15,,,
1,SRS,FM-6-ANN,FM-6,463721,16ANNUAL-0021,FM-6-ANN-WATER-2016-02-22T08:50:37,2/22/16,22 Feb 2016,08:51,REG,,,,WATER,2016 ANNUALS,,,,LB,302927815,,EBLFY18,L3.21-10021,6/3/16,00,T,000,,,,,100,1,2617023,15046-84-1,IODINE-129,N,< 0.0975,0.0975,pCi/L,0.0975,,0.9240,2.12,Yes,N,,,U,2.12,,0.9240,pCi/L,UU,0.0975,0.0975,pCi/L,TRG,,,,,,,,0,,LIQ,,N,0.5960,,2/22/16,I129,,2/22/16,,2/22/16,,,
1,SRS,FM-6-ANN,FM-6,478462,17ANNUAL-0020,FM-6-ANN-WATER-2017-01-30T11:40:30,1/30/17,30 Jan 2017,11:40,REG,,,,WATER,2017 ANNUALS,,,,LB,303207310,,EBLFY18,L3.21-10021,6/28/17,00,T,000,,,,,100,1,2661868,15046-84-1,IODINE-129,N,1.02,1.02,pCi/L,1.02,,0.8890,2.33,Yes,Y,,,J,2.33,,0.8890,pCi/L,VU,1.02,1.02,pCi/L,TRG,,,,,,,,0,,LIQ,SIG|21,N,0.7220,,1/30/17,I129,,1/30/17,,1/30/17,,,
1,SRS,FM-6-ANN,FM-6,491035,18ANNUAL-0020,FM-6-ANN-WATER-2018-01-29T11:30:36,1/29/18,29 Jan 2018,11:31,REG,,,,WATER,2018 ANNUALS,,,,LB,303446642,,EBLFY18,L3.21-10021,5/30/18,00,T,000,,,,,100,1,2700990,15046-84-1,IODINE-129,N,< 1.11,1.11,pCi/L,1.11,,0.9420,3,Yes,N,,,J,3,,0.9420,pCi/L,VU,1.11,1.11,pCi/L,TRG,,,,,,,,0,,LIQ,21,N,1.03,,1/29/18,I129,,1/29/18,,1/29/18,,,
