FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLEDATE,SAMPLETIME,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,TASK_CODE_2,PARENT_SAMPLE_CODE,FIELD_SDG,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORT_METHOD_DETECTION_LIMIT,REPORT_REPORTING_LIMIT,REPORT_QUANTITATION_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,UNCERTAINTY,SAMPLE_METHOD,MEDIUM_CODE,DQM_REASON_CODE,COMPOSITE_YN,RESULT_ERROR_DELTA,COUNTING_ERROR,SAMPLE_START_DATE,ANL_SHORT_NAME,MINIMUM_DETECTABLE_CONC,SAMPLE_END_DATE,ANALYST_NAME,collection_date
1,SRS,FMC-002F,FMC-002F,253240,FMC-002F-01:124921,FMC-002F-SW-2000-09-07T08:40:00,9/7/00,07 Sep 2000,08:40,REG,,,ft,SW,FMBSW (20000056),,,,LB,30824005,,GP,EPIA-006,9/20/00,00,T,000,,,,,100,1,1845630,15046-84-1,IODINE-129,N,0.6420,0.642,pCi/L,0.6420,,0.5840,1.7040,Yes,Y,J,J,,1.7040,,0.5840,pCi/L,D,0.6420,0.642,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,OTHER,LIQ,21,N,0.56,,9/7/00,I129,,9/7/00,,9/7/00
1,SRS,FMC-002F,FMC-002F,255187,FMC-002F-02:124931,FMC-002F-SW-2001-03-20T12:50:00,3/20/01,20 Mar 2001,12:50,REG,,,ft,SW,FMB2001 (20010015),,,,LB,39938012,,GP,RADA-006,4/11/01,00,T,000,,,,,,1,1856950,15046-84-1,IODINE-129,N,< 0.4490,0.449,pCi/L,0.4490,,1.70,3.4760,Yes,N,U,U,,3.4760,,1.70,pCi/L,D,0.4490,0.449,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,OTHER,LIQ,,N,0.8880,,3/20/01,I129,,3/20/01,,3/20/01
1,SRS,FMC-002F,FMC-002F,291103,FMC-002F-03:2041B6,FMC-002F-SW-2001-06-20T00:00:00,6/20/01,20 Jun 2001,10:00,REG,,,ft,SW,FMB2001-2,,,,LB,44488012,,GE17817N,RADA-006,7/17/01,00,T,000,,,,,,1,2073618,15046-84-1,IODINE-129,N,< 0.3720,0.372,pCi/L,0.3720,,1.49,3.07,Yes,N,U,U,U,3.07,,1.49,pCi/L,D,0.3720,0.372,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,GRAB,LIQ,,N,1,,6/20/01,I129,,6/20/01,,6/20/01
1,SRS,FMC-002F,FMC-002F,288109,FMB-400000012,FMC-002F-SW-2001-12-11T13:10:00,12/11/01,11 Dec 2001,13:10,REG,,,,SW,FMB2001,,,,LB,53389004,,GE17817N,RADA-006,1/3/02,00,T,000,,,,,,1,2059445,15046-84-1,IODINE-129,N,1.83,1.83,pCi/L,1.83,,1.33,3.53,Yes,Y,,,R,3.53,,1.33,pCi/L,UE,1.83,1.83,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,,LIQ,,N,1.10,,12/11/01,I129,,12/11/01,,12/11/01
1,SRS,FMC-002F,FMC-002F,300268,3Q02FMB000001,FMC-002F-SW-2002-09-17T00:00:00,9/17/02,17 Sep 2002,08:15,REG,,,,SW,3Q02FMB,,,,LB,67341005,,GELFY02,RADA-006,10/7/02,00,T,000,,,,,,1,2105070,15046-84-1,IODINE-129,N,2.30,2.3,pCi/L,2.30,,0.66,2.70,Yes,Y,,,J,2.70,,0.66,pCi/L,UU,2.30,2.3,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,,LIQ,,N,1.02,,9/17/02,I129,,9/17/02,,9/17/02
1,SRS,FMC-002F,FMC-002F,319659,GE-03-3QFMB01,FMC-002F-SW-2003-09-15T00:00:00,9/15/03,15 Sep 2003,09:00,REG,,,,SW,3Q03FMB,,,,LB,88102007,,GELFY03,RADA-006,10/7/03,00,T,000,,,,,,1,2172599,15046-84-1,IODINE-129,N,1.66,1.66,pCi/L,1.66,,0.4540,1.8260,Yes,Y,,,J,1.8260,,0.4540,pCi/L,UE,1.66,1.66,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,,LIQ,,N,0.6860,,9/15/03,I129,,9/15/03,,9/15/03
1,SRS,FMC-002F,FMC-002F,332959,3Q04FHFMB0001,FMC-002F-SW-2004-09-16T00:00:00,9/16/04,16 Sep 2004,12:15,REG,,,,SW,3Q04FHFMB,,,,LB,F4I210293002,,STLFY04,EPA901.1MOD,10/11/04,00,T,000,,,,,100,1,2221495,15046-84-1,IODINE-129,N,3.80,3.8,pCi/L,3.80,2.60,2.60,4.24,Yes,Y,,,J,4.24,2.60,2.60,pCi/L,UE,3.80,3.8,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,V|21,N,0.82,,9/16/04,I129,,9/16/04,,9/16/04
1,SRS,FMC-002F,FMC-002F,341154,3Q05FHFMB-001,FMC-002F-SW-2005-09-14T00:00:00,9/14/05,14 Sep 2005,12:30,REG,,,,SW,3Q05FHFMB,,,,LB,300094944,,EBLFY05B,L3.21-10021,9/28/05,00,T,000,,,,,100,1,2257346,15046-84-1,IODINE-129,N,< 2.49,2.49,pCi/L,2.49,,0.6090,2.17,Yes,N,,,J,2.17,,0.6090,pCi/L,VU,2.49,2.49,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,,,LIQ,2,N,0.7820,,9/14/05,I129,,9/14/05,,9/14/05
1,SRS,FMC-002F,FMC-002F,350557,3Q06FHFMB-001,FMC-002F-SW-2006-09-11T00:00:00,9/11/06,11 Sep 2006,13:45,REG,,,,SW,3Q06FHFMB,,,,LB,F6I120193001,,STLFY06A,EPA902.0MOD,10/10/06,00,T,RA0,,,,,100,1,2293599,15046-84-1,IODINE-129,N,5.88,5.88,pCi/L,5.88,,0.58,1.44,Yes,Y,,,,1.44,,0.58,pCi/L,VU,5.88,5.88,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,,N,0.43,,9/11/06,I129,,9/11/06,,9/11/06
1,SRS,FMC-002F,FMC-002F,353769,4Q06FHFMB-001,FMC-002F-SW-2006-12-05T00:00:00,12/5/06,05 Dec 2006,07:30,REG,,,,SW,4Q06FHFMB,,,,LB,300336804,,EBLFY07,L3.21-10021,1/8/07,00,T,000,,,,,100,1,2301878,15046-84-1,IODINE-129,N,< 2.52,2.52,pCi/L,2.52,,1.07,3.25,Yes,N,,,J,3.25,,1.07,pCi/L,VU,2.52,2.52,pCi/L,TRG,-81.67906676,33.2665425,,,,-81.67906676,33.2665425,0,,LIQ,21,N,1.09,,12/5/06,I129,,12/5/06,,12/5/06
