BU,CT,IE,fuelType,TOT_SF,TOT_A,I127,I129,I131
50.0,0.0,4.5,UOX,2985.91,11084600000000.0,3.23910881367245e-06,1.0216994661959e-05,2.63897740833009e-07
50.0,91.25,4.5,UOX,2584.37,1111050000000.0,3.2681823041046e-06,1.02690305835375e-05,1.01133488421739e-10
50.0,182.5,4.5,UOX,2302.37,729825000000.0,3.28383138905156e-06,1.02768906138342e-05,3.87573703665097e-14
50.0,273.75,4.5,UOX,2105.92,562842000000.0,3.29259090064991e-06,1.02780869685143e-05,1.48529807600695e-17
50.0,365.0,4.5,UOX,1967.56,469128000000.0,3.29749400161087e-06,1.02782689810513e-05,5.69210540789487e-21
50.0,456.25,4.5,UOX,1868.64,406313000000.0,3.30023849241536e-06,1.02782965908167e-05,2.18138463234867e-24
50.0,547.5,4.5,UOX,1796.52,359382000000.0,3.30177470997152e-06,1.02783006974516e-05,8.359716788882799e-28
50.0,638.75,4.5,UOX,1742.63,322238000000.0,3.3026346014953e-06,1.0278301226449e-05,3.20369290926401e-31
50.0,730.0,4.5,UOX,1701.16,291967000000.0,3.30311592227549e-06,1.02783012108597e-05,1.2277507140574e-34
50.0,821.25,4.5,UOX,1668.15,266913000000.0,3.30338533962295e-06,1.02783011123737e-05,4.7051070703738e-38
50.0,912.5,4.5,UOX,1640.93,245984000000.0,3.30353614488651e-06,1.02783010012692e-05,1.80313741952722e-41
50.0,1003.75,4.5,UOX,1617.68,228385000000.0,3.30362055751892e-06,1.02783008882439e-05,6.91016060861069e-45
50.0,1095.0,4.5,UOX,1597.18,213504000000.0,3.30366780714631e-06,1.02783007749262e-05,2.64817972938053e-48
50.0,1186.25,4.5,UOX,1578.57,200857000000.0,3.30369425493291e-06,1.0278300661564e-05,1.01486148822117e-51
50.0,1277.5,4.5,UOX,1561.3,190052000000.0,3.3037090589738e-06,1.02783005481951e-05,3.88925203545535e-55
50.0,1368.75,4.5,UOX,1544.99,180772000000.0,3.30371734547542e-06,1.02783004348251e-05,1.4904774268069502e-58
50.0,1460.0,4.5,UOX,1529.36,172759000000.0,3.30372198381098e-06,1.02783003214549e-05,5.71195422556609e-62
50.0,1551.25,4.5,UOX,1514.24,165800000000.0,3.30372458010042e-06,1.02783002080848e-05,2.18899129152582e-65
50.0,1642.5,4.5,UOX,1499.51,159722000000.0,3.30372603336287e-06,1.02783000947146e-05,8.388867776511279e-69
50.0,1733.75,4.5,UOX,1485.09,154381000000.0,3.30372684682061e-06,1.02782999813444e-05,3.2148644375253e-72
50.0,1825.0,4.5,UOX,1470.92,149661000000.0,3.30372730215027e-06,1.02782998679743e-05,1.23203197702123e-75
50.0,1916.25,4.5,UOX,1456.96,145462000000.0,3.30372755701919e-06,1.02782997546041e-05,4.7215141474869295e-79
50.0,2007.5,4.5,UOX,1443.18,141706000000.0,3.30372769968104e-06,1.02782996412339e-05,1.8094251010284598e-82
50.0,2098.75,4.5,UOX,1429.57,138326000000.0,3.30372777953542e-06,1.02782995278638e-05,6.93425688023084e-86
50.0,2190.0,4.5,UOX,1416.12,135265000000.0,3.30372782423359e-06,1.02782994144936e-05,2.6574141396457e-89
50.0,2281.25,4.5,UOX,1402.8,132477000000.0,3.30372784925321e-06,1.02782993011234e-05,1.01840038976949e-92
50.0,2372.5,4.5,UOX,1389.63,129924000000.0,3.30372786325784e-06,1.02782991877533e-05,3.90281416211978e-96
50.0,2463.75,4.5,UOX,1376.59,127574000000.0,3.30372787109687e-06,1.02782990743831e-05,1.49567483840912e-99
50.0,2555.0,4.5,UOX,1363.68,125399000000.0,3.30372787548474e-06,1.0278298961013e-05,5.731872257620159e-103
50.0,2646.25,4.5,UOX,1350.89,123377000000.0,3.30372787794083e-06,1.02782988476428e-05,2.19662447571969e-106
50.0,2737.5,4.5,UOX,1338.23,121487000000.0,3.30372787931562e-06,1.02782987342726e-05,8.41812041591831e-110
